PLAYER,SALARY
Stephen Curry,51915615
LeBron James,47607350
Kevin Durant,47649433
Giannis Antetokounmpo,48787676
Nikola Jokic,47607350
Joel Embiid,51415938
Damian Lillard,45640084
Bradley Beal,46741590
Paul George,45640084
Kawhi Leonard,45640084
James Harden,35640084
Jimmy Butler,45184132
Devin Booker,36016200
Anthony Davis,43219440
Karl-Anthony Towns,36016200
Klay Thompson,43219440
Rudy Gobert,41000000
Jrue Holiday,35990093
Zach LaVine,40064220
Fred VanVleet,42846615
Khris Middleton,40355770
Trae Young,40064220
Jaylen Brown,31830357
Julius Randle,28226880
Pascal Siakam,37893408
Bam Adebayo,34848340
Domantas Sabonis,35450412
De'Aaron Fox,34848340
Ja Morant,33520581
Luka Doncic,40064220
Donovan Mitchell,35448672
Jayson Tatum,32600060
Shai Gilgeous-Alexander,33386850
Tyrese Haliburton,9975660
Anthony Edwards,13534557
Scottie Barnes,9098280
Evan Mobley,10850717
Paolo Banchero,12160680
Chet Holmgren,11821200
Victor Wembanyama,12160680
Cade Cunningham,11450410
Franz Wagner,4899000
Alperen Sengun,4240200
Jalen Green,10919580
Jaren Jackson Jr.,26706426
Brandon Ingram,36016200
CJ McCollum,33333333
Mikal Bridges,23300000
OG Anunoby,18642857
Desmond Bane,34005250
Dejounte Murray,17169507
Kyrie Irving,37037037
Chris Paul,30800000
Russell Westbrook,4014582
DeMar DeRozan,28600000
Nikola Vucevic,22267000
Kristaps Porzingis,36016200
Al Horford,10000000
Draymond Green,24000000
Andrew Wiggins,26254389
Jordan Poole,29020730
Tyler Herro,29005710
Bogdan Bogdanovic,18700000
Buddy Hield,19310344
Malcolm Brogdon,22500000
Terry Rozier,24915784
Immanuel Quickley,17178571
Coby White,11585316
RJ Barrett,23882520
Herbert Jones,4400000
Josh Hart,17358821
Mitchell Robinson,13343750
Nic Claxton,11631521
Deandre Ayton,34944760
Clint Capela,20616000
Jarrett Allen,20000000
Ivica Zubac,10920000
Walker Kessler,3757480
Isaiah Hartenstein,7500000
Derrick White,18400000
Marcus Smart,18833333
Jalen Brunson,26346666
Josh Giddey,6587840
Lauri Markkanen,18000000
Jerami Grant,29000000
Aaron Gordon,22266182
Michael Porter Jr.,33800000
Bojan Bogdanovic,19000000
Tobias Harris,39270150
