PLAYER,TEAM,POSITION,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FGM,FGA,FG3M,FG3A,FTM,FTA
Stephen Curry,GSW,PG,63,36.1,34.3,5.4,9.7,2.0,0.4,3.2,12.6,28.6,3.0,9.2,6.1,7.4
LeBron James,LAL,SF,62,31.2,27.7,6.3,4.1,1.3,0.7,2.4,10.6,23.5,2.0,5.8,4.5,6.1
Kevin Durant,PHX,PF,55,37.7,33.8,10.5,4.3,1.3,1.3,3.1,13.3,30.7,2.1,5.7,5.1,5.9
Giannis Antetokounmpo,MIL,PF,66,34.0,29.7,9.1,3.7,1.2,1.1,2.9,11.1,23.4,2.0,4.9,5.5,6.0
Nikola Jokic,DEN,C,81,35.2,28.0,12.5,3.5,1.0,1.9,3.3,11.9,24.1,0.8,2.2,3.4,4.0
Joel Embiid,PHI,C,82,36.9,32.3,14.0,4.0,1.1,2.2,3.3,13.6,24.8,0.9,2.5,4.2,5.5
Damian Lillard,POR,PG,76,32.8,25.8,4.6,8.0,1.7,0.3,2.8,10.0,22.6,2.6,7.6,3.2,4.1
Bradley Beal,WAS,SG,72,36.9,41.3,6.0,5.0,1.8,0.6,3.4,14.2,33.9,3.6,9.0,9.3,10.7
Paul George,LAC,SF,73,34.6,32.3,6.8,4.5,1.4,0.7,2.8,11.5,26.1,2.4,6.3,6.9,8.7
Kawhi Leonard,LAC,SF,72,32.7,29.7,6.6,4.4,1.4,0.7,3.0,11.2,24.9,2.2,6.1,5.1,5.5
James Harden,LAC,PG,79,27.2,22.1,4.2,6.9,1.5,0.3,2.1,8.3,18.2,2.5,6.6,3.0,4.3
Jimmy Butler,MIA,SF,71,33.7,31.2,7.2,4.8,1.5,0.8,3.1,12.2,26.0,2.8,6.7,4.0,4.5
Devin Booker,PHX,SG,65,31.6,32.1,5.1,4.1,1.5,0.5,2.8,11.7,25.0,2.7,7.5,6.0,8.1
Anthony Davis,LAL,PF,58,34.7,28.6,9.3,3.8,1.2,1.1,2.8,11.4,24.8,1.9,5.0,3.9,4.5
Karl-Anthony Towns,MIN,C,71,33.6,26.4,11.3,3.1,0.9,1.7,2.8,10.6,21.9,0.7,1.9,4.5,4.9
Klay Thompson,GSW,SG,62,36.9,32.9,5.5,4.5,1.6,0.5,3.4,13.0,30.2,2.7,8.2,4.2,4.9
Rudy Gobert,MIN,C,70,35.7,30.6,12.2,3.4,1.0,1.8,2.8,11.6,21.2,0.8,2.1,6.6,7.3
Jrue Holiday,BOS,PG,77,32.2,27.6,4.7,8.2,1.7,0.3,3.2,10.2,23.4,3.0,7.9,4.2,5.9
Zach LaVine,CHI,SG,73,30.9,25.8,4.7,3.7,1.4,0.4,2.6,10.5,23.7,2.2,6.8,2.6,3.8
Fred VanVleet,HOU,PG,71,29.2,26.8,4.3,7.3,1.6,0.3,2.6,9.1,22.5,2.4,7.0,6.2,7.6
Khris Middleton,MIL,SF,80,32.8,30.8,6.8,4.5,1.4,0.7,2.7,11.5,26.3,2.4,6.3,5.4,6.1
Trae Young,ATL,PG,75,28.6,23.1,4.3,7.3,1.6,0.3,2.5,8.9,19.6,2.5,7.0,2.8,3.9
Jaylen Brown,BOS,SG,63,29.1,26.4,4.5,3.5,1.3,0.4,2.6,9.7,21.6,2.1,6.4,4.9,6.9
Julius Randle,NYK,PF,55,30.9,24.0,7.9,3.2,1.0,0.9,2.6,9.2,21.4,1.7,4.2,3.9,5.3
Pascal Siakam,IND,PF,67,28.4,25.3,8.3,3.4,1.1,1.0,2.5,9.9,20.5,1.9,4.5,3.6,4.2
Bam Adebayo,MIA,C,76,33.4,26.5,11.6,3.2,0.9,1.7,2.6,10.9,18.6,0.7,2.0,4.0,4.9
Domantas Sabonis,SAC,C,73,31.4,26.1,11.0,3.0,0.9,1.6,2.9,10.3,21.5,0.7,1.8,4.8,5.4
De'Aaron Fox,SAC,PG,82,26.5,21.4,3.9,6.4,1.4,0.2,2.0,7.5,17.3,2.5,6.1,3.9,4.7
Ja Morant,MEM,PG,71,29.3,23.0,4.3,7.2,1.5,0.3,2.4,8.7,20.2,2.7,6.9,2.9,4.1
Luka Doncic,DAL,PG,79,35.2,27.1,4.8,8.4,1.8,0.3,2.6,10.4,23.3,3.1,8.0,3.2,4.0
Donovan Mitchell,CLE,SG,66,31.8,29.4,4.6,3.6,1.3,0.4,2.8,10.2,24.6,2.4,6.7,6.6,7.8
Jayson Tatum,BOS,SF,75,31.6,26.8,6.4,4.2,1.3,0.7,2.8,10.6,22.3,2.2,5.9,3.4,3.8
Shai Gilgeous-Alexander,OKC,SG,78,30.0,25.5,4.6,3.6,1.3,0.4,2.3,9.8,21.3,2.5,6.5,3.4,4.1
Tyrese Haliburton,IND,PG,82,19.5,12.3,3.0,4.1,0.9,0.1,1.5,4.5,10.9,1.6,4.1,1.7,2.4
Anthony Edwards,MIN,SG,69,23.5,19.0,3.4,2.4,0.9,0.2,1.6,6.4,16.0,1.5,4.6,4.7,5.2
